step,time,soc,p_bess,p_grid,p_pv,p_load,energy_cost,reward,test_day
0,2007-01-04 00:00:00,0.1,-0.0,0.4056071665560714,0.0,0.4056071665560714,0.01352023888520238,-0.01352023888520238,19
1,2007-01-04 00:05:00,0.1,-0.0,0.5494359654943597,0.0,0.5494359654943597,0.018314532183145323,-0.018314532183145323,19
2,2007-01-04 00:10:00,0.1,-0.0,0.8903450564034504,0.0,0.8903450564034504,0.02967816854678168,-0.02967816854678168,19
3,2007-01-04 00:15:00,0.1,-0.0,2.4776874585268738,0.0,2.4776874585268738,0.08258958195089579,-0.08258958195089579,19
4,2007-01-04 00:20:00,0.1,-0.0,3.571582614465827,0.0,3.571582614465827,0.11905275381552756,-0.3572121765096221,19
5,2007-01-04 00:25:00,0.1,-0.0,3.137856668878567,0.0,3.137856668878567,0.10459522229595222,-0.16203550099535513,19
6,2007-01-04 00:30:00,0.1,0.0,3.2299270072992705,0.0,3.2299270072992705,0.10766423357664234,-0.20346715328467171,19
7,2007-01-04 00:35:00,0.1,-0.0,3.07564698075647,0.0,3.07564698075647,0.10252156602521567,-0.13404114134041156,19
8,2007-01-04 00:40:00,0.1081670750204177,0.7,2.8910252156602514,0.0,2.1910252156602517,0.09636750718867504,-0.09636750718867504,19
9,2007-01-04 00:45:00,0.1081670750204177,0.0,1.8175182481751826,0.0,1.8175182481751826,0.06058394160583942,-0.06058394160583942,19
10,2007-01-04 00:50:00,0.1,-0.44100000000000017,1.2321917717319173,0.0,1.6731917717319174,0.04107305905773058,-0.04193060193487444,19
11,2007-01-04 00:55:00,0.10302181775755455,0.2589999999999998,1.8642587923025875,0.0,1.6052587923025876,0.062141959743419586,-0.062141959743419586,19
12,2007-01-04 01:00:00,0.1,-0.16316999999999993,1.3821186529528862,0.0,1.5452886529528862,0.04607062176509621,-0.0461880193849772,19
13,2007-01-04 01:05:00,0.1,-0.0,1.4549601857996015,0.0,1.4549601857996015,0.04849867285998671,-0.04849867285998671,19
14,2007-01-04 01:10:00,0.1,-0.0,1.4460019907100197,0.0,1.4460019907100197,0.04820006635700066,-0.04820006635700066,19
15,2007-01-04 01:15:00,0.1,-0.0,2.74693098871931,0.0,2.74693098871931,0.09156436629064367,-0.09156436629064367,19
16,2007-01-04 01:20:00,0.1,-0.0,2.760617120106171,0.0,2.760617120106171,0.0920205706702057,-0.0920205706702057,19
17,2007-01-04 01:25:00,0.1,-0.0,2.4995852687458524,0.0,2.4995852687458524,0.08331950895819508,-0.08331950895819508,19
18,2007-01-04 01:30:00,0.1,-0.0,1.3949900464499003,0.0,1.3949900464499003,0.04649966821499668,-0.04649966821499668,19
19,2007-01-04 01:35:00,0.10318751954348053,0.2732023000717163,1.6410689225003825,0.0,1.3678666224286662,0.05470229741667942,-0.05470229741667942,19
20,2007-01-04 01:40:00,0.1,-0.17211744904518095,1.2470099563960928,0.0,1.4191274054412737,0.04156699854653643,-0.04169762419715679,19
21,2007-01-04 01:45:00,0.1,-0.0,1.4748672859986725,0.0,1.4748672859986725,0.049162242866622415,-0.049162242866622415,19
22,2007-01-04 01:50:00,0.1,-0.0,1.4840743198407431,0.0,1.4840743198407431,0.049469143994691434,-0.049469143994691434,19
23,2007-01-04 01:55:00,0.1,-0.0,1.4599369608493693,0.0,1.4599369608493693,0.048664565361645644,-0.048664565361645644,19
24,2007-01-04 02:00:00,0.1,-0.0,1.4377903118779032,0.0,1.4377903118779032,0.04792634372926344,-0.04792634372926344,19
25,2007-01-04 02:05:00,0.1,-0.0,1.4873092236230923,0.0,1.4873092236230923,0.049576974120769744,-0.049576974120769744,19
26,2007-01-04 02:10:00,0.1,-0.0,1.4514764432647644,0.0,1.4514764432647644,0.04838254810882548,-0.04838254810882548,19
27,2007-01-04 02:15:00,0.1,-0.0,1.3999668214996681,0.0,1.3999668214996681,0.046665560716655605,-0.046665560716655605,19
28,2007-01-04 02:20:00,0.1,-0.0,1.4191274054412737,0.0,1.4191274054412737,0.04730424684804246,-0.04730424684804246,19
29,2007-01-04 02:25:00,0.1,-0.0,1.477355673523557,0.0,1.477355673523557,0.0492451891174519,-0.0492451891174519,19
30,2007-01-04 02:30:00,0.1,-0.0,1.449983410749834,0.0,1.449983410749834,0.048332780358327804,-0.048332780358327804,19
31,2007-01-04 02:35:00,0.1,-0.0,1.4345554080955536,0.0,1.4345554080955536,0.04781851360318512,-0.04781851360318512,19
32,2007-01-04 02:40:00,0.1,-0.0,1.4081785003317846,0.0,1.4081785003317846,0.04693928334439282,-0.04693928334439282,19
33,2007-01-04 02:45:00,0.1,-0.0,1.4567020570670202,0.0,1.4567020570670202,0.04855673523556734,-0.04855673523556734,19
34,2007-01-04 02:50:00,0.1,-0.0,1.4308228268082281,0.0,1.4308228268082281,0.04769409422694094,-0.04769409422694094,19
35,2007-01-04 02:55:00,0.1,-0.0,1.3982249502322495,0.0,1.3982249502322495,0.046607498341074985,-0.046607498341074985,19
36,2007-01-04 03:00:00,0.1,-0.0,1.416887856668878,0.0,1.416887856668878,0.04722959522229594,-0.04722959522229594,19
37,2007-01-04 03:05:00,0.1,-0.0,1.4686463171864628,0.0,1.4686463171864628,0.04895487723954876,-0.04895487723954876,19
38,2007-01-04 03:10:00,0.1,-0.0,1.4445089581950894,0.0,1.4445089581950894,0.04815029860650298,-0.04815029860650298,19
39,2007-01-04 03:15:00,0.1,-0.0,1.4382879893828795,0.0,1.4382879893828795,0.047942932979429316,-0.047942932979429316,19
40,2007-01-04 03:20:00,0.1,-0.0,1.3977272727272723,0.0,1.3977272727272723,0.04659090909090907,-0.04659090909090907,19
41,2007-01-04 03:25:00,0.1,-0.0,1.4201227604512272,0.0,1.4201227604512272,0.04733742534837424,-0.04733742534837424,19
42,2007-01-04 03:30:00,0.1,-0.0,1.4216157929661577,0.0,1.4216157929661577,0.047387193098871926,-0.047387193098871926,19
43,2007-01-04 03:35:00,0.1,-0.0,1.3820504313205038,0.0,1.3820504313205038,0.04606834771068346,-0.04606834771068346,19
44,2007-01-04 03:40:00,0.1,-0.0,1.392750497677505,0.0,1.392750497677505,0.04642501658925016,-0.04642501658925016,19
45,2007-01-04 03:45:00,0.1074084143615801,0.6349751949310303,2.0570886654021647,0.0,1.4221134704711347,0.06856962218007216,-0.06856962218007216,19
46,2007-01-04 03:50:00,0.10586012730272788,-0.06502480506896968,1.3655491829867703,0.0,1.43057398805574,0.04551830609955901,-0.04551830609955901,19
