update,reward_total,energy_cost_total
1,-57.830320,57.830320
2,-56.573198,56.573198
3,-54.559073,54.559073
4,-53.908728,53.908728
5,-52.891753,52.891753
6,-47.915934,47.915934
7,-48.348318,48.348318
8,-39.210969,39.210969
9,-37.551343,37.551343
10,-34.928858,34.928858
11,-35.626817,35.626817
12,-33.472057,33.472057
13,-34.262180,34.262180
14,-34.486481,34.486481
15,-36.579263,36.579263
16,-35.686858,35.686858
17,-36.152498,36.152498
18,-35.397457,35.397457
19,-35.744125,35.744125
20,-35.025978,35.025978
21,-34.296380,34.296380
22,-34.029604,34.029604
23,-33.909142,33.909142
24,-33.411936,33.411936
25,-32.402257,32.402257
26,-31.603435,31.603435
27,-32.002812,32.002812
28,-31.039435,31.039435
29,-30.930470,30.930470
30,-30.958128,30.958128
31,-30.514863,30.514863
32,-31.349386,31.349386
33,-32.650512,32.650512
34,-32.485481,32.485481
35,-30.614896,30.614896
36,-31.303316,31.303316
37,-30.105087,30.105087
38,-30.323407,30.323407
39,-29.803564,29.803564
40,-29.779933,29.779933
41,-27.940373,27.940373
42,-28.399484,28.399484
43,-27.689069,27.689069
44,-27.389240,27.389240
45,-27.409169,27.409169
46,-26.653145,26.653145
47,-28.361976,28.361976
48,-26.222960,26.222960
49,-26.989174,26.989174
50,-27.657816,27.657816
51,-28.313421,28.313421
52,-28.077603,28.077603
53,-28.451539,28.451539
54,-28.328882,28.328882
55,-28.229730,28.229730
56,-26.944276,26.944276
57,-26.671907,26.671907
58,-26.629001,26.629001
59,-28.416311,28.416311
60,-26.733912,26.733912
61,-25.823476,25.823476
62,-26.327938,26.327938
63,-25.710102,25.710102
64,-26.131846,26.131846
65,-26.827506,26.827506
66,-26.955816,26.955816
67,-27.458523,27.458523
68,-27.879155,27.879155
69,-27.730418,27.730418
70,-26.526633,26.526633
71,-26.761013,26.761013
72,-28.115960,28.115960
73,-28.299054,28.299054
74,-29.882177,29.882177
75,-30.564060,30.564060
76,-28.954921,28.954921
77,-27.901516,27.901516
78,-28.101386,28.101386
79,-28.821642,28.821642
80,-28.502791,28.502791
81,-27.570541,27.570541
82,-27.612428,27.612428
83,-26.548652,26.548652
84,-28.661469,28.661469
85,-28.244910,28.244910
86,-27.073887,27.073887
87,-27.475923,27.475923
88,-29.414707,29.414707
89,-29.661867,29.661867
90,-28.885455,28.885455
91,-30.451429,30.451429
92,-29.205621,29.205621
93,-28.220602,28.220602
94,-28.339081,28.339081
95,-27.506116,27.506116
96,-27.090617,27.090617
97,-28.048869,28.048869
98,-28.108786,28.108786
99,-29.967836,29.967836
100,-28.047071,28.047071
101,-27.593878,27.593878
102,-27.459575,27.459575
103,-27.980083,27.980083
104,-26.271609,26.271609
105,-25.854902,25.854902
106,-27.627141,27.627141
107,-26.293009,26.293009
108,-27.392997,27.392997
109,-26.840361,26.840361
110,-27.618092,27.618092
111,-27.790092,27.790092
112,-27.886739,27.886739
113,-25.328241,25.328241
114,-26.206361,26.206361
115,-24.761755,24.761755
116,-24.860988,24.860988
117,-25.969687,25.969687
118,-25.211254,25.211254
119,-23.891445,23.891445
120,-26.020389,26.020389
121,-23.456065,23.456065
122,-23.490491,23.490491
123,-24.456686,24.456686
124,-25.428449,25.428449
125,-25.156674,25.156674
126,-22.528258,22.528258
127,-22.145271,22.145271
128,-23.148390,23.148390
129,-22.162264,22.162264
130,-23.047519,23.047519
131,-23.368085,23.368085
132,-23.522249,23.522249
133,-23.232012,23.232012
134,-23.156479,23.156479
135,-23.397892,23.397892
136,-22.715402,22.715402
137,-21.541281,21.541281
138,-20.217833,20.217833
139,-21.535338,21.535338
140,-21.539927,21.539927
141,-23.249027,23.249027
142,-22.240999,22.240999
143,-22.447668,22.447668
144,-21.242608,21.242608
145,-20.319397,20.319397
146,-21.267974,21.267974
147,-20.476461,20.476461
148,-21.310470,21.310470
149,-19.293321,19.293321
150,-21.074700,21.074700
151,-22.018648,22.018648
152,-21.852888,21.852888
153,-23.772520,23.772520
154,-24.203525,24.203525
155,-22.415578,22.415578
156,-22.945563,22.945563
157,-21.387168,21.387168
158,-20.731805,20.731805
159,-19.710363,19.710363
160,-21.547426,21.547426
161,-21.297584,21.297584
162,-23.332655,23.332655
163,-24.867489,24.867489
164,-23.358963,23.358963
165,-25.787079,25.787079
166,-24.858732,24.858732
167,-22.974217,22.974217
168,-22.562871,22.562871
169,-23.031815,23.031815
170,-23.355812,23.355812
171,-21.157344,21.157344
172,-21.459779,21.459779
173,-21.894738,21.894738
174,-21.605823,21.605823
175,-21.932688,21.932688
176,-22.109797,22.109797
177,-21.377198,21.377198
178,-21.640131,21.640131
179,-23.377896,23.377896
180,-23.958906,23.958906
181,-23.946865,23.946865
182,-22.331315,22.331315
183,-24.021157,24.021157
184,-24.243565,24.243565
185,-22.751246,22.751246
186,-23.376635,23.376635
187,-22.583031,22.583031
188,-25.127416,25.127416
189,-24.165722,24.165722
190,-22.531549,22.531549
191,-23.252211,23.252211
192,-22.474463,22.474463
193,-23.195836,23.195836
194,-21.157917,21.157917
195,-20.748342,20.748342
196,-21.775925,21.775925
197,-21.332502,21.332502
198,-21.855061,21.855061
199,-22.079808,22.079808
200,-21.651932,21.651932
201,-21.050813,21.050813
202,-21.696246,21.696246
203,-22.735368,22.735368
204,-22.113015,22.113015
205,-24.212617,24.212617
206,-23.688162,23.688162
207,-25.541628,25.541628
208,-24.125276,24.125276
209,-25.087069,25.087069
210,-24.134881,24.134881
211,-24.792924,24.792924
212,-23.248997,23.248997
213,-23.202323,23.202323
214,-23.210587,23.210587
215,-24.469540,24.469540
216,-21.179690,21.179690
217,-20.895999,20.895999
218,-21.041590,21.041590
219,-21.214275,21.214275
220,-22.113387,22.113387
221,-21.838562,21.838562
222,-22.591161,22.591161
223,-22.153782,22.153782
224,-24.562351,24.562351
225,-23.984144,23.984144
226,-22.873267,22.873267
227,-23.284968,23.284968
228,-24.126025,24.126025
229,-25.226099,25.226099
230,-23.751743,23.751743
231,-21.474346,21.474346
232,-24.063238,24.063238
233,-23.823936,23.823936
234,-23.752340,23.752340
235,-23.457990,23.457990
236,-24.605918,24.605918
237,-23.323218,23.323218
238,-23.101522,23.101522
239,-21.305183,21.305183
240,-19.955931,19.955931
241,-20.649611,20.649611
242,-20.457205,20.457205
243,-20.651654,20.651654
244,-20.185537,20.185537
245,-18.822824,18.822824
246,-19.358975,19.358975
247,-19.653658,19.653658
248,-18.890505,18.890505
249,-18.600034,18.600034
250,-20.667767,20.667767
251,-19.589924,19.589924
252,-19.594157,19.594157
253,-20.454475,20.454475
254,-20.783712,20.783712
255,-18.896843,18.896843
256,-19.692702,19.692702
257,-20.458392,20.458392
258,-20.705733,20.705733
259,-21.729464,21.729464
260,-21.446800,21.446800
261,-23.852692,23.852692
